step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss,test_f1,test_auc,test_recall
31,3.283552646636963,0.0546875,5.0279330025659874e-05,5.0279330025659874e-05,0.0006000000284984708,0.6656180024147034,67.37287902832031,95.7627182006836,0.8064360022544861,0.6697236895561218,0.9802544713020325,0.6737288236618042
32,3.2932815551757812,0.0546875,5.363128366298042e-05,5.363128366298042e-05,0.0006000000284984708,,71.61016845703125,97.88136291503906,0.8668112754821777,0.7131072282791138,0.9810786843299866,0.7161017060279846
33,3.2955803871154785,0.078125,5.363128366298042e-05,5.363128366298042e-05,0.0006000000284984708,0.7165409326553345,70.3389892578125,97.88136291503906,0.9588240385055542,0.6930447816848755,0.9780189990997314,0.7033898234367371
34,3.296766757965088,0.0234375,5.698324093827978e-05,5.698324093827978e-05,0.0006000000284984708,,70.3389892578125,99.57627868652344,0.7599332332611084,0.709299623966217,0.9884095191955566,0.7033898234367371
35,3.310250759124756,0.0625,5.698324093827978e-05,5.698324093827978e-05,0.0006000000284984708,0.6843727231025696,72.03390502929688,97.88136291503906,0.8291856050491333,0.7220418453216553,0.98614501953125,0.7203390002250671
36,3.308297634124756,0.0625,6.0335194575600326e-05,6.0335194575600326e-05,0.0006000000284984708,,68.22034454345703,96.61017608642578,0.9929603338241577,0.6721400618553162,0.9836704730987549,0.6822034120559692
37,3.3000388145446777,0.0625,6.0335194575600326e-05,6.0335194575600326e-05,0.0006000000284984708,0.7420816421508789,73.30508422851562,99.15254211425781,0.6874821186065674,0.7332141995429993,0.985072910785675,0.7330508232116699
38,3.284649133682251,0.046875,6.368714821292087e-05,6.368714821292087e-05,0.0006000000284984708,,67.37287902832031,98.30509185791016,0.9138988256454468,0.6769346594810486,0.9851994514465332,0.6737288236618042
39,3.2936654090881348,0.0625,6.368714821292087e-05,6.368714821292087e-05,0.0006000000284984708,0.6226227879524231,68.64407348632812,97.45762634277344,0.8796634078025818,0.6877956390380859,0.9797645807266235,0.6864407062530518
40,3.2827064990997314,0.0625,6.703910912619904e-05,6.703910912619904e-05,0.0006000000284984708,,72.03390502929688,98.30509185791016,0.861137866973877,0.7138383984565735,0.9826094508171082,0.7203390002250671
41,3.2971091270446777,0.0234375,6.703910912619904e-05,6.703910912619904e-05,0.0006000000284984708,0.6848675012588501,72.88135528564453,98.30508422851562,0.8516790866851807,0.7328457236289978,0.984977662563324,0.7288135886192322
42,3.2999582290649414,0.0546875,7.039106276351959e-05,7.039106276351959e-05,0.0006000000284984708,,71.18644714355469,98.72881317138672,0.7935571670532227,0.7124266624450684,0.9830302596092224,0.7118644118309021
43,3.282108783721924,0.078125,7.039106276351959e-05,7.039106276351959e-05,0.0006000000284984708,0.6257308721542358,,,,,,
44,3.285365343093872,0.1015625,7.374301640084013e-05,7.374301640084013e-05,0.0006000000284984708,,,,,,,
45,3.2951459884643555,0.0703125,7.374301640084013e-05,7.374301640084013e-05,0.0006000000284984708,0.6409419775009155,,,,,,
46,3.293020725250244,0.0703125,7.709497003816068e-05,7.709497003816068e-05,0.0006000000284984708,,,,,,,
47,3.2775607109069824,0.0703125,7.709497003816068e-05,7.709497003816068e-05,0.0006000000284984708,0.6452377438545227,,,,,,
48,3.2899539470672607,0.09375,8.044693095143884e-05,8.044693095143884e-05,0.0006000000284984708,,,,,,,
49,3.280423641204834,0.09375,8.044693095143884e-05,8.044693095143884e-05,0.0006000000284984708,0.6183360815048218,,,,,,
50,3.2886054515838623,0.0859375,8.379888458875939e-05,8.379888458875939e-05,0.0006000000284984708,,,,,,,
51,3.2796318531036377,0.0625,8.379888458875939e-05,8.379888458875939e-05,0.0006000000284984708,0.6302051544189453,,,,,,
52,3.2809555530548096,0.125,8.715083822607994e-05,8.715083822607994e-05,0.0006000000284984708,,,,,,,
53,3.2929611206054688,0.109375,8.715083822607994e-05,8.715083822607994e-05,0.0006000000284984708,0.7000418901443481,,,,,,
54,3.2774012088775635,0.09375,9.050279186340049e-05,9.050279186340049e-05,0.0006000000284984708,,,,,,,
55,3.2897701263427734,0.109375,9.050279186340049e-05,9.050279186340049e-05,0.0006000000284984708,0.6327722072601318,,,,,,
56,3.2817444801330566,0.03125,9.385474550072104e-05,9.385474550072104e-05,0.0006000000284984708,,,,,,,
57,3.2819738388061523,0.09375,9.385474550072104e-05,9.385474550072104e-05,0.0006000000284984708,0.6594832539558411,,,,,,
58,3.2736430168151855,0.1015625,9.72067064139992e-05,9.72067064139992e-05,0.0006000000284984708,,,,,,,
59,3.2767419815063477,0.0859375,9.72067064139992e-05,9.72067064139992e-05,0.0006000000284984708,0.6227095127105713,,,,,,
60,3.294236660003662,0.0703125,0.00010055866005131975,0.00010055866005131975,0.0006000000284984708,,,,,,,
61,3.2655136585235596,0.0625,0.00010055866005131975,0.00010055866005131975,0.0006000000284984708,0.6395365595817566,,,,,,
62,3.266752243041992,0.0859375,0.0001039106136886403,0.0001039106136886403,0.0006000000284984708,,,,,,,
63,3.283877372741699,0.078125,0.0001039106136886403,0.0001039106136886403,0.0006000000284984708,0.6608147621154785,,,,,,
64,3.255808115005493,0.125,0.00010726256732596084,0.00010726256732596084,0.0006000000284984708,,,,,,,
65,3.2802860736846924,0.09375,0.00010726256732596084,0.00010726256732596084,0.0006000000284984708,0.6877138018608093,,,,,,
66,3.2676401138305664,0.109375,0.00011061452823923901,0.00011061452823923901,0.0006000000284984708,,,,,,,
67,3.2581162452697754,0.1328125,0.00011061452823923901,0.00011061452823923901,0.0006000000284984708,0.6975049376487732,,,,,,
