step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss
0,3.3112025260925293,0.03125,0.0,0.0,0.0006000000284984708,,2.1186442375183105,19.06779670715332,3.2937402725219727
1,3.3057477474212646,0.03125,0.0,0.0,0.0006000000284984708,0.6925263404846191,1.6949154138565063,19.915254592895508,3.29380464553833
2,3.3113555908203125,0.0546875,3.3519552289362764e-06,3.3519552289362764e-06,0.0006000000284984708,,4.237287998199463,23.72881317138672,3.291903018951416
3,3.291337490081787,0.0625,3.3519552289362764e-06,3.3519552289362764e-06,0.0006000000284984708,0.704904317855835,10.1694917678833,32.62711715698242,3.2825942039489746
4,3.2804906368255615,0.0390625,6.703910457872553e-06,6.703910457872553e-06,0.0006000000284984708,,14.406780242919922,47.45762634277344,3.239840030670166
5,3.3292388916015625,0.015625,6.703910457872553e-06,6.703910457872553e-06,0.0006000000284984708,0.6777313351631165,19.491525650024414,58.050846099853516,3.155463218688965
6,3.2825512886047363,0.0390625,1.0055866368929856e-05,1.0055866368929856e-05,0.0006000000284984708,,27.11864471435547,53.38983154296875,3.062554359436035
7,3.287064552307129,0.015625,1.0055866368929856e-05,1.0055866368929856e-05,0.0006000000284984708,0.7884805798530579,29.6610164642334,56.35593795776367,2.9965062141418457
8,3.3022005558013916,0.015625,1.3407820915745106e-05,1.3407820915745106e-05,0.0006000000284984708,,31.779661178588867,63.559322357177734,2.8471179008483887
9,3.305938243865967,0.0234375,1.3407820915745106e-05,1.3407820915745106e-05,0.0006000000284984708,0.683342456817627,39.40678024291992,76.69491577148438,2.5527184009552
10,3.322448253631592,0.03125,1.675977728154976e-05,1.675977728154976e-05,0.0006000000284984708,,37.71186447143555,76.27118682861328,2.497363567352295
11,3.3191938400268555,0.046875,1.675977728154976e-05,1.675977728154976e-05,0.0006000000284984708,0.82644122838974,41.52542495727539,78.38983154296875,2.3274755477905273
12,3.322138786315918,0.046875,2.011173273785971e-05,2.011173273785971e-05,0.0006000000284984708,,51.27119064331055,84.74576568603516,2.0522570610046387
13,3.2877073287963867,0.0546875,2.011173273785971e-05,2.011173273785971e-05,0.0006000000284984708,0.9439773559570312,51.694915771484375,86.44068145751953,1.753525733947754
14,3.308511734008789,0.046875,2.346368637518026e-05,2.346368637518026e-05,0.0006000000284984708,,58.050846099853516,91.94915771484375,1.6238230466842651
15,3.29253888130188,0.0234375,2.346368637518026e-05,2.346368637518026e-05,0.0006000000284984708,0.7455954551696777,40.6779670715332,83.89830780029297,1.7196080684661865
16,3.3193085193634033,0.03125,2.681564183149021e-05,2.681564183149021e-05,0.0006000000284984708,,55.50847625732422,94.06780242919922,1.4013664722442627
17,3.3074488639831543,0.046875,2.681564183149021e-05,2.681564183149021e-05,0.0006000000284984708,0.8182836174964905,58.8983039855957,89.83051300048828,1.3717601299285889
18,3.284346103668213,0.046875,3.0167597287800163e-05,3.0167597287800163e-05,0.0006000000284984708,,62.71186447143555,94.06779479980469,1.2323291301727295
19,3.31333589553833,0.0390625,3.0167597287800163e-05,3.0167597287800163e-05,0.0006000000284984708,0.7188060283660889,58.89830780029297,93.22034454345703,1.2344119548797607
20,3.3315908908843994,0.0234375,3.351955456309952e-05,3.351955456309952e-05,0.0006000000284984708,,61.01695251464844,91.52542114257812,1.3009881973266602
21,3.3000268936157227,0.03125,3.351955456309952e-05,3.351955456309952e-05,0.0006000000284984708,0.9515606760978699,69.91525268554688,96.18643951416016,0.9001425504684448
22,3.3089799880981445,0.0390625,3.687150820042007e-05,3.687150820042007e-05,0.0006000000284984708,,67.79661560058594,94.49152374267578,1.0924265384674072
23,3.324738025665283,0.0234375,3.687150820042007e-05,3.687150820042007e-05,0.0006000000284984708,0.7397093772888184,70.7627182006836,97.88135528564453,0.8432484865188599
24,3.300119638442993,0.0234375,4.022346547571942e-05,4.022346547571942e-05,0.0006000000284984708,,71.61017608642578,97.88135528564453,0.801565408706665
25,3.3155102729797363,0.046875,4.022346547571942e-05,4.022346547571942e-05,0.0006000000284984708,0.7829011082649231,69.06779479980469,98.30509185791016,0.9310981631278992
26,3.2861380577087402,0.0234375,4.357541911303997e-05,4.357541911303997e-05,0.0006000000284984708,,70.33898162841797,95.76271057128906,1.0194469690322876
27,3.304145097732544,0.015625,4.357541911303997e-05,4.357541911303997e-05,0.0006000000284984708,0.641762375831604,68.2203369140625,97.45763397216797,0.9210149645805359
28,3.2943625450134277,0.078125,4.692737275036052e-05,4.692737275036052e-05,0.0006000000284984708,,65.67797088623047,97.03389739990234,0.9517021179199219
29,3.2958788871765137,0.0390625,4.692737275036052e-05,4.692737275036052e-05,0.0006000000284984708,0.7464560270309448,68.22034454345703,97.45762634277344,0.9806767702102661
30,3.287418842315674,0.0703125,5.0279330025659874e-05,5.0279330025659874e-05,0.0006000000284984708,,72.45762634277344,99.15254211425781,0.7739419937133789
